x_inner	x_outer	x_diff	phi_inner	phi_outer	phi_diff	theta_inner	theta_outer	theta_diff
70.2364	-26.5431	 96.7795	-0.0612967	1.27079	1.33209	0.897104	2.69316	1.79606
69.2283	51.8787	 17.3496	-0.0495543	-1.35445	-1.3049	0.780655	2.77065	1.99
65.3484	117.073	 -51.725	0.068136	0.369719	0.301583	0.725946	1.39891	0.672964
74.3732	-141	 215.373	-0.226783	0.294959	0.521742	0.895946	2.5905	1.69455
65.8951	-96.1201	 162.015	0.142885	0.857645	0.714759	0.968863	2.42776	1.4589
66.9547	-119.899	 186.854	0.0462889	-0.201887	-0.248176	0.872866	2.66572	1.79285
74.3054	-132.745	 207.05	-0.265	0.515185	0.780185	0.815016	2.76066	1.94565
66.6923	72.9296	 -6.23734	0.0749499	-1.22524	-1.30019	0.804847	2.7175	1.91265
66.8525	-109.434	 176.287	0.00220463	0.627768	0.625563	0.743109	2.75121	2.0081
66.7049	117.55	 -50.845	0.0752336	0.352994	0.27776	0.911615	2.86434	1.95272
58.4254	-77.7458	 136.171	0.377972	-0.772186	-1.15016	0.757383	2.57394	1.81656
65.6133	-68.4247	 134.038	0.093013	0.980327	0.887314	0.839875	2.80795	1.96808
65.7531	138.961	 -73.2074	0.0944104	-0.279591	-0.374001	0.778991	2.87849	2.0995
69.9606	127.773	 -57.8123	-0.0512436	0.132541	0.183784	0.913211	2.89683	1.98362
70.4101	-75.9055	 146.316	-0.081567	-0.484206	-0.402639	0.919981	2.71622	1.79624
68.4235	106.703	 -38.2792	-0.00598862	0.581757	0.587746	0.815314	2.92562	2.11031
67.8112	94.6715	 -26.8604	-0.020539	1.55778	1.57831	0.844311	1.61245	0.768134
62.442	-111.535	 173.977	0.227083	0.308323	0.0812396	0.830549	1.90873	1.07818
63.7704	68.0256	 -4.25517	0.203613	-1.32346	-1.52707	0.886052	2.58499	1.69894
62.5732	25.2763	 37.2969	0.245973	0.311719	0.0657457	0.833694	1.38325	0.549556
66.2253	4.73	 61.4953	0.0931342	-1.44302	-1.53616	0.783885	2.65014	1.86625
65.0023	-138.736	 203.739	0.125834	0.128386	0.0025526	0.77638	2.63703	1.86065
64.9497	-105.416	 170.366	0.07526	0.547996	0.472736	0.750222	2.56442	1.8142
66.7443	-140.89	 207.634	0.029744	-0.00517308	-0.0349171	0.749254	2.79228	2.04302
63.9478	-89.2623	 153.21	0.156528	-0.757078	-0.913606	0.764608	2.60716	1.84255
60.1967	105.868	 -45.6709	0.381998	0.635861	0.253863	0.872441	2.28656	1.41412
70.0506	101.805	 -31.7543	-0.119289	-1.02091	-0.901618	0.789365	2.72201	1.93265
72.8692	-140.935	 213.805	-0.194992	-0.488111	-0.293119	0.830452	2.45065	1.6202
67.3979	-131.216	 198.614	0.00870758	-0.518705	-0.527413	0.796771	1.4308	0.634032
71.0273	-133.857	 204.884	-0.0764695	0.0235626	0.100032	0.919664	2.65274	1.73308
72.5682	47.489	 25.0792	-0.169859	1.39603	1.56589	0.776373	2.69744	1.92107
67.7807	-28.445	 96.2257	0.000203752	1.24912	1.24892	0.802499	2.74893	1.94643
63.9013	128.362	 -64.4611	0.181129	-0.659388	-0.840517	0.830906	2.771	1.94009
72.3985	131.809	 -59.4108	-0.150428	0.16384	0.314267	0.80359	2.78018	1.97659
68.5921	-117.777	 186.369	-0.0430124	0.620003	0.663016	0.790732	2.73066	1.93992
66.5957	122.05	 -55.4545	0.0348161	-0.685771	-0.720587	0.798516	2.74992	1.9514
66.3272	84.4968	 -18.1696	0.0488668	-1.17287	-1.22173	0.818944	2.73361	1.91467
73.1472	-60.3879	 133.535	-0.177446	-0.685094	-0.507648	0.948487	2.74737	1.79888
67.0805	87.1786	 -20.0981	0.00644866	-1.09089	-1.09734	0.804957	2.83595	2.03099
77.8631	-140.984	 218.847	-0.400252	0.217606	0.617858	0.886848	2.76522	1.87837
65.4033	84.9509	 -19.5476	0.100839	-1.10776	-1.2086	0.796481	2.68252	1.88604
64.1051	109.269	 -45.1634	0.175825	-0.054075	-0.2299	0.796874	1.45604	0.659169
67.5201	55.2068	 12.3134	0.0025736	1.23179	1.22922	0.788079	2.74186	1.95379
62.144	-138.544	 200.688	0.261262	0.436664	0.175402	0.980818	2.5183	1.53748
71.6432	-134.758	 206.401	-0.176699	0.346716	0.523415	0.793453	2.7377	1.94425
61.6861	-14.4609	 76.147	0.282726	-1.24361	-1.52633	0.768421	2.72977	1.96135
68.3305	-134.153	 202.484	-0.0197045	0.129413	0.149117	0.734546	2.63888	1.90433
66.7673	133.957	 -67.1892	0.0421273	-0.633611	-0.675739	0.794794	1.23336	0.438569
77.8113	-102.029	 179.84	-0.375346	0.857587	1.23293	0.879044	2.50169	1.62264
69.0765	119.592	 -50.5154	-0.0815722	-0.895556	-0.813984	0.81088	2.83823	2.02735
67.9007	-102.349	 170.25	0.0311776	0.796522	0.765344	0.86955	2.53779	1.66824
68.5744	-5.60274	 74.1771	-0.0164804	-1.23042	-1.21394	0.839284	2.77085	1.93156
63.3384	47.1709	 16.1675	0.162878	1.44422	1.28134	0.796357	2.87527	2.07892
57.8277	105.602	 -47.7745	0.40571	0.896813	0.491103	0.778085	2.90116	2.12308
67.5854	44.9244	 22.6609	0.0212176	1.38109	1.35987	0.844103	2.86296	2.01886
66.6634	39.4929	 27.1705	0.027348	1.45536	1.42802	0.739121	2.82998	2.09086
68.9793	77.3293	 -8.35001	-0.0262138	-1.24487	-1.21865	0.853	2.65649	1.80349
62.3959	-35.3837	 97.7797	0.230462	1.17102	0.940562	0.838184	2.66484	1.82666
72.2995	48.6681	 23.6314	-0.188036	-1.5148	-1.32676	0.843687	1.9041	1.06041
68.3169	-9.13878	 77.4557	-0.0369439	0.682294	0.719238	0.855552	2.01844	1.16289
65.079	-130.38	 195.459	0.158171	-0.133323	-0.291494	0.872981	2.78095	1.90797
66.8957	140.815	 -73.9197	0.0502727	-0.511936	-0.562209	0.927104	2.73109	1.80398
67.994	128.529	 -60.5348	-0.00321515	0.132366	0.135581	0.848704	2.76861	1.9199
67.9818	-1.5574	 69.5391	0.0512902	1.39645	1.34516	0.87903	2.73197	1.85294
71.3025	-133.237	 204.54	-0.139419	0.564703	0.704122	0.812516	2.68566	1.87314
72.7709	90.5889	 -17.8181	-0.116189	-1.24259	-1.1264	0.927176	2.51191	1.58473
66.8219	-88.2148	 155.037	-0.0146806	-0.718966	-0.704286	0.770623	2.69525	1.92462
65.3213	56.5635	 8.75783	0.0859842	1.4064	1.32041	0.731066	2.8116	2.08054
69.5239	97.1579	 -27.6339	-0.0348228	0.738352	0.773175	0.89688	2.89129	1.99441
64.0592	92.6283	 -28.5691	0.187615	1.02008	0.832468	0.809222	2.91259	2.10337
75.663	130.106	 -54.4426	-0.301879	-0.728559	-0.426681	0.857907	2.78942	1.93151
60.5464	-131.567	 192.113	0.289752	-0.341833	-0.631585	0.716365	2.7355	2.01914
71.6775	-77.47	 149.147	-0.0881012	0.989597	1.0777	0.941452	2.5469	1.60545
60.8371	-98.716	 159.553	0.295064	0.71569	0.420627	0.844888	2.80042	1.95553
67.648	-134.548	 202.196	0.0254198	0.004023	-0.0213968	0.890006	2.73152	1.84151
61.8858	-62.612	 124.498	0.251246	-0.926227	-1.17747	0.735353	2.57839	1.84304
73.0007	-111.987	 184.988	-0.202077	0.689049	0.891127	0.843128	2.63532	1.79219
65.6089	7.13421	 58.4747	0.0754624	1.45963	1.38417	0.847825	2.56724	1.71941
64.4619	139.162	 -74.7004	0.151673	-0.536222	-0.687896	0.774577	2.67404	1.89946
61.9894	-15.7415	 77.7309	0.240776	1.34807	1.10729	0.856376	2.74298	1.8866
72.8692	-136.406	 209.275	-0.184402	0.0554753	0.239877	0.897296	2.69128	1.79398
